id,frag1,frag2,new_smiles
8850,*N1CC(C)(C)N(Cc2ccccc2)c2ccccc21,*N1CCN(C(C)=O)CC1,CC(=O)N1CCN(N2CC(C)(C)N(Cc3ccccc3)c3ccccc32)CC1
8851,*c1cccc(NC(=O)c2c(C(=O)N3CCC3)cnn2C)c1,*Cc1ccc(OCCO)cc1,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1cccc(Cc2ccc(OCCO)cc2)c1
8852,*N1C[C@H](C)N[C@H](C)C1,*C1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,C[C@H]1CN(C2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)C[C@@H](C)N1
8853,*CCOCCO,*n1cnc2c(O)ncnc21,OCCOCCn1cnc2c(O)ncnc21
8854,*C(=O)CCCCCCCCCO,*[C@H](C)c1cccc(C#N)c1C,Cc1c(C#N)cccc1[C@@H](C)C(=O)CCCCCCCCCO
8855,*CCNC(CO)CO,*c1cc(O)c2ncn(CCCCCn3ccc4cnccc43)c(=O)c2c1,O=c1c2cc(CCNC(CO)CO)cc(O)c2ncn1CCCCCn1ccc2cnccc21
8856,*Nc1cc[nH+]cc1F,*C(=O)c1ccncc1,O=C(Nc1cc[nH+]cc1F)c1ccncc1
8857,*c1nccc(-c2ccnc(NCCN)c2)n1,*c1ccc2cccnc2c1,NCCNc1cc(-c2ccnc(-c3ccc4cccnc4c3)n2)ccn1
8858,*c1cccnc1,*c1cc(O)c(O)c(C(=O)NCCCCCn2ccnc2)c1,O=C(NCCCCCn1ccnc1)c1cc(-c2cccnc2)cc(O)c1O
8859,*OC[C@H](C1CCNCC1)n1c(-c2ccccc2)nc2ccccc21,*NC,CNOC[C@H](C1CCNCC1)n1c(-c2ccccc2)nc2ccccc21
8860,*c1ccc2c(c1)CCC(=O)N2,*S(=O)(=O)c1ccc(F)c(C)c1,Cc1cc(S(=O)(=O)c2ccc3c(c2)CCC(=O)N3)ccc1F
8861,*N1C(=O)CSC1=O,*NCCC(=O)NCCSC(C)=O,CC(=O)SCCNC(=O)CCNN1C(=O)CSC1=O
8862,*c1nc(N[C@H](C)C2CC2)c2cccc(C3=CCNCC3)c2n1,*c1nc2cccc(C(N)=O)c2[nH]1,C[C@@H](Nc1nc(-c2nc3cccc(C(N)=O)c3[nH]2)nc2c(C3=CCNCC3)cccc12)C1CC1
8863,*N1CCCCC1,*N[C@@H]1CCn2cc(-c3ccccc3C)nc2C1,Cc1ccccc1-c1cn2c(n1)C[C@H](NN1CCCCC1)CC2
